URL,Valoración,Estación,Km freeride,Continente,País,Provincia/Estado,Altitud,Km fáciles,Km intermedios,Km difíciles,Precio forfait adulto,Moneda,Tamaño del dominio esquiable,Variedad de pistas,Remontes y teleféricos,Fiabilidad de nieve,Acceso y aparcamiento,Señalización,Limpieza e higiene,Sostenibilidad,Gastronomía,Après-ski,Alojamiento en pistas,Familias y niños,Principiantes,Snowparks,Esquí de fondo,Código país,Latitud,Longitud,Km totales,Categoría tamaño,% Pistas fáciles,% Pistas intermedias,% Pistas difíciles,Perfil recomendado,Perfil freeride,Precio por km,Precio forfait EUR,Precio por km EUR
http://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,4.9,KitzSki – Kitzbühel/Kirchberg,45.0,Europe,Austria,Tyrol (Tirol),2000.0,101.0,61.0,17.0,55.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,AT,47.516231,14.550072,179.0,Muy grande,56.4245810055866,34.07821229050279,9.497206703910614,Principiante,Para amantes del freeride,0.31,55.0,0.31
http://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,4.8,Ischgl/Samnaun – Silvretta Arena,15.0,Europe,Austria,Tyrol (Tirol),2872.0,47.0,142.0,49.0,53.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,AT,47.516231,14.550072,238.0,Muy grande,19.747899159663863,59.66386554621849,20.588235294117645,Intermedio,Freeride avanzado,0.22,53.0,0.22
http://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/,4.8,SkiWelt Wilder Kaiser-Brixental,26.0,Europe,Austria,Tyrol (Tirol),1957.0,122.0,129.0,33.0,49.0,European Euro,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,AT,47.516231,14.550072,284.0,Muy grande,42.95774647887324,45.42253521126761,11.619718309859154,Equilibrada,Freeride avanzado,0.17,49.0,0.17
http://www.skiresort.info/ski-resort/st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg/,4.8,Ski Arlberg,200.0,Europe,Austria,Tyrol (Tirol),2811.0,132.0,123.0,50.0,53.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,AT,47.516231,14.550072,305.0,Muy grande,43.278688524590166,40.32786885245901,16.39344262295082,Equilibrada,Para amantes del freeride,0.17,53.0,0.17
http://www.skiresort.info/ski-resort/serfaus-fiss-ladis/,4.8,Serfaus-Fiss-Ladis,28.0,Europe,Austria,Tyrol (Tirol),2820.0,47.0,123.0,28.0,51.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,AT,47.516231,14.550072,198.0,Muy grande,23.737373737373737,62.121212121212125,14.14141414141414,Intermedio,Freeride avanzado,0.26,51.0,0.26
http://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,4.7,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),0.0,Europe,Austria,Salzburg (Salzburger Land),2096.0,140.0,112.0,18.0,53.0,European Euro,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,AT,47.516231,14.550072,270.0,Muy grande,51.85185185185185,41.48148148148148,6.666666666666667,Principiante,Sin freeride,0.2,53.0,0.2
http://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,4.7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),3.6,Europe,Austria,Tyrol (Tirol),2378.0,28.7,41.3,13.0,52.0,European Euro,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,AT,47.516231,14.550072,83.0,Grande,34.57831325301205,49.75903614457831,15.66265060240964,Intermedio,Freeride básico,0.63,52.0,0.63
http://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,4.7,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,3.0,Europe,Austria,Tyrol (Tirol),2500.0,43.0,89.0,11.0,52.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,AT,47.516231,14.550072,143.0,Grande,30.069930069930063,62.23776223776224,7.6923076923076925,Intermedio,Freeride básico,0.36,52.0,0.36
http://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/,4.7,Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),4.0,Europe,Austria,Styria (Steiermark),2015.0,46.4,68.3,8.3,52.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,AT,47.516231,14.550072,123.0,Grande,37.72357723577236,55.52845528455285,6.747967479674798,Intermedio,Freeride básico,0.42,52.0,0.42
http://www.skiresort.info/ski-resort/soelden/,4.7,Sölden,0.0,Europe,Austria,Tyrol (Tirol),3340.0,70.2,44.6,29.4,53.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,AT,47.516231,14.550072,144.20000000000002,Grande,48.68238557558946,30.929264909847436,20.388349514563103,Principiante,Sin freeride,0.37,53.0,0.37
