URL,Valoración,Estación,Km freeride,Continente,País,Provincia/Estado,Altitud,Km fáciles,Km intermedios,Km difíciles,Precio forfait adulto,Moneda,Tamaño del dominio esquiable,Variedad de pistas,Remontes y teleféricos,Fiabilidad de nieve,Acceso y aparcamiento,Señalización,Limpieza e higiene,Sostenibilidad,Gastronomía,Après-ski,Alojamiento en pistas,Familias y niños,Principiantes,Snowparks,Esquí de fondo,Código país,Latitud,Longitud,Km totales,Categoría tamaño,% Pistas fáciles,% Pistas intermedias,% Pistas difíciles,Perfil recomendado,Perfil freeride,Precio por km,Precio por km EUR,Precio forfait EUR
http://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,4.9,KitzSki – Kitzbühel/Kirchberg,45.0,Europe,Austria,Tyrol (Tirol),2000.0,101.0,61.0,17.0,55.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,AT,47.52,14.55,179.0,Muy grande,56.42,34.08,9.5,Principiante,Para amantes del freeride,0.31,0.31,55.0
http://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,4.8,Ischgl/Samnaun – Silvretta Arena,15.0,Europe,Austria,Tyrol (Tirol),2872.0,47.0,142.0,49.0,53.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,AT,47.52,14.55,238.0,Muy grande,19.75,59.66,20.59,Intermedio,Freeride avanzado,0.22,0.22,53.0
http://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/,4.8,SkiWelt Wilder Kaiser-Brixental,26.0,Europe,Austria,Tyrol (Tirol),1957.0,122.0,129.0,33.0,49.0,European Euro,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,AT,47.52,14.55,284.0,Muy grande,42.96,45.42,11.62,Equilibrada,Freeride avanzado,0.17,0.17,49.0
http://www.skiresort.info/ski-resort/st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg/,4.8,Ski Arlberg,200.0,Europe,Austria,Tyrol (Tirol),2811.0,132.0,123.0,50.0,53.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,AT,47.52,14.55,305.0,Muy grande,43.28,40.33,16.39,Equilibrada,Para amantes del freeride,0.17,0.17,53.0
http://www.skiresort.info/ski-resort/serfaus-fiss-ladis/,4.8,Serfaus-Fiss-Ladis,28.0,Europe,Austria,Tyrol (Tirol),2820.0,47.0,123.0,28.0,51.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,AT,47.52,14.55,198.0,Muy grande,23.74,62.12,14.14,Intermedio,Freeride avanzado,0.26,0.26,51.0
http://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,4.7,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),0.0,Europe,Austria,Salzburg (Salzburger Land),2096.0,140.0,112.0,18.0,53.0,European Euro,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,AT,47.52,14.55,270.0,Muy grande,51.85,41.48,6.67,Principiante,Sin freeride,0.2,0.2,53.0
http://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,4.7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),3.6,Europe,Austria,Tyrol (Tirol),2378.0,28.7,41.3,13.0,52.0,European Euro,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,AT,47.52,14.55,83.0,Grande,34.58,49.76,15.66,Intermedio,Freeride básico,0.63,0.63,52.0
http://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,4.7,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,3.0,Europe,Austria,Tyrol (Tirol),2500.0,43.0,89.0,11.0,52.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,AT,47.52,14.55,143.0,Grande,30.07,62.24,7.69,Intermedio,Freeride básico,0.36,0.36,52.0
http://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/,4.7,Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),4.0,Europe,Austria,Styria (Steiermark),2015.0,46.4,68.3,8.3,52.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,AT,47.52,14.55,123.0,Grande,37.72,55.53,6.75,Intermedio,Freeride básico,0.42,0.42,52.0
http://www.skiresort.info/ski-resort/soelden/,4.7,Sölden,0.0,Europe,Austria,Tyrol (Tirol),3340.0,70.2,44.6,29.4,53.0,European Euro,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,AT,47.52,14.55,144.2,Grande,48.68,30.93,20.39,Principiante,Sin freeride,0.37,0.37,53.0
http://www.skiresort.info/ski-resort/silvretta-montafon/,4.6,Silvretta Montafon,23.0,Europe,Austria,Vorarlberg,2430.0,60.0,45.0,8.0,53.0,European Euro,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,AT,47.52,14.55,113.0,Grande,53.1,39.82,7.08,Principiante,Freeride avanzado,0.47,0.47,53.0
http://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,4.6,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,8.7,Europe,Austria,Tyrol (Tirol),2500.0,40.0,63.0,33.0,52.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,AT,47.52,14.55,136.0,Grande,29.41,46.32,24.26,Intermedio,Freeride básico,0.38,0.38,52.0
http://www.skiresort.info/ski-resort/obertauern/,4.5,Obertauern,0.0,Europe,Austria,Salzburg (Salzburger Land),2313.0,61.0,35.0,4.0,53.0,European Euro,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,AT,47.52,14.55,100.0,Grande,61.0,35.0,4.0,Principiante,Sin freeride,0.53,0.53,53.0
http://www.skiresort.info/ski-resort/gurgl-obergurgl-hochgurgl/,4.5,Gurgl – Obergurgl-Hochgurgl,4.5,Europe,Austria,Tyrol (Tirol),3082.0,35.0,55.0,20.0,52.0,European Euro,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,AT,47.52,14.55,110.0,Grande,31.82,50.0,18.18,Intermedio,Freeride básico,0.47,0.47,52.0
http://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/,4.5,Hochkönig – Maria Alm/Dienten/Mühlbach,8.0,Europe,Austria,Salzburg (Salzburger Land),1900.0,52.0,41.0,19.0,51.0,European Euro,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,AT,47.52,14.55,112.0,Grande,46.43,36.61,16.96,Equilibrada,Freeride básico,0.46,0.46,51.0
http://www.skiresort.info/ski-resort/snow-space-salzburg-flachauwagrainst-johann-alpendorf/,4.5,Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,5.0,Europe,Austria,Salzburg (Salzburger Land),1980.0,30.0,81.0,4.0,52.0,European Euro,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,AT,47.52,14.55,115.0,Grande,26.09,70.43,3.48,Intermedio,Freeride básico,0.45,0.45,52.0
http://www.skiresort.info/ski-resort/schmittenhoehe-zell-am-see/,4.4,Schmittenhöhe – Zell am See,8.0,Europe,Austria,Salzburg (Salzburger Land),2000.0,30.0,28.0,19.0,51.0,European Euro,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,AT,47.52,14.55,77.0,Grande,38.96,36.36,24.68,Equilibrada,Freeride básico,0.66,0.66,51.0
http://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,4.4,Wildkogel – Neukirchen/Bramberg,2.0,Europe,Austria,Salzburg (Salzburger Land),2150.0,29.0,25.0,10.0,45.0,European Euro,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,AT,47.52,14.55,64.0,Mediana,45.31,39.06,15.62,Equilibrada,Freeride básico,0.7,0.7,45.0
http://www.skiresort.info/ski-resort/kitzsteinhornmaiskogel-kaprun/,4.4,Kitzsteinhorn/Maiskogel – Kaprun,0.5,Europe,Austria,Salzburg (Salzburger Land),3029.0,13.0,25.0,3.0,51.0,European Euro,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,AT,47.52,14.55,41.0,Mediana,31.71,60.98,7.32,Intermedio,Freeride básico,1.24,1.24,51.0
http://www.skiresort.info/ski-resort/bad-gasteinbad-hofgastein-schlossalmangertalstubnerkogel/,4.4,Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,1.3,Europe,Austria,Salzburg (Salzburger Land),2300.0,30.6,52.8,2.6,52.0,European Euro,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,AT,47.52,14.55,86.0,Grande,35.58,61.4,3.02,Intermedio,Freeride básico,0.6,0.6,52.0
http://www.skiresort.info/ski-resort/katschberg/,4.3,Katschberg,2.0,Europe,Austria,Carinthia (Karnten),2220.0,10.0,50.0,10.0,43.0,European Euro,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,AT,47.52,14.55,70.0,Mediana,14.29,71.43,14.29,Intermedio,Freeride básico,0.61,0.61,43.0
http://www.skiresort.info/ski-resort/turracher-hoehe/,4.3,Turracher Höhe,1.0,Europe,Austria,Carinthia (Karnten),2205.0,14.0,24.5,3.5,46.0,European Euro,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,AT,47.52,14.55,42.0,Mediana,33.33,58.33,8.33,Intermedio,Freeride básico,1.1,1.1,46.0
http://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,4.2,Ski Juwel Alpbachtal Wildschönau,6.3,Europe,Austria,Tyrol (Tirol),2025.0,25.9,53.7,13.5,52.0,European Euro,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,AT,47.52,14.55,93.1,Grande,27.82,57.68,14.5,Intermedio,Freeride básico,0.56,0.56,52.0
http://www.skiresort.info/ski-resort/damuels-mellau/,4.2,Damüls Mellau,7.7,Europe,Austria,Vorarlberg,2050.0,29.7,48.0,1.7,50.0,European Euro,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,AT,47.52,14.55,79.4,Grande,37.41,60.45,2.14,Intermedio,Freeride básico,0.63,0.63,50.0
http://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,4.2,Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,2.0,Europe,Austria,Tyrol (Tirol),1860.0,18.0,22.0,2.0,45.0,European Euro,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,AT,47.52,14.55,42.0,Mediana,42.86,52.38,4.76,Equilibrada,Freeride básico,1.07,1.07,45.0
http://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,4.2,Großglockner Resort Kals-Matrei,0.0,Europe,Austria,Tyrol (Tirol),2422.0,8.5,22.5,6.0,43.0,European Euro,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,AT,47.52,14.55,37.0,Mediana,22.97,60.81,16.22,Intermedio,Sin freeride,1.16,1.16,43.0
http://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,4.2,Nauders am Reschenpass – Bergkastel,11.0,Europe,Austria,Tyrol (Tirol),2740.0,24.0,34.0,13.0,41.0,European Euro,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,AT,47.52,14.55,71.0,Mediana,33.8,47.89,18.31,Intermedio,Freeride avanzado,0.58,0.58,41.0
http://www.skiresort.info/ski-resort/nassfeld-hermagor/,4.2,Nassfeld – Hermagor,0.0,Europe,Austria,Carinthia (Karnten),2002.0,30.0,69.0,11.0,47.0,European Euro,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,AT,47.52,14.55,110.0,Grande,27.27,62.73,10.0,Intermedio,Sin freeride,0.43,0.43,47.0
http://www.skiresort.info/ski-resort/kuehtai/,4.1,Kühtai,0.0,Europe,Austria,Tyrol (Tirol),2520.0,6.0,26.2,8.8,39.0,European Euro,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,AT,47.52,14.55,41.0,Mediana,14.63,63.9,21.46,Intermedio,Sin freeride,0.95,0.95,39.0
http://www.skiresort.info/ski-resort/stubai-glacier-stubaier-gletscher/,4.1,Stubai Glacier (Stubaier Gletscher),0.0,Europe,Austria,Tyrol (Tirol),3212.0,19.0,15.0,4.0,47.0,European Euro,3.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,2.0,AT,47.52,14.55,38.0,Mediana,50.0,39.47,10.53,Principiante,Sin freeride,1.24,1.24,47.0
http://www.skiresort.info/ski-resort/grossarltaldorfgastein/,4.1,Großarltal/Dorfgastein,9.7,Europe,Austria,Salzburg (Salzburger Land),2033.0,25.5,43.1,1.5,43.0,European Euro,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,AT,47.52,14.55,70.1,Mediana,36.38,61.48,2.14,Intermedio,Freeride básico,0.61,0.61,43.0
http://www.skiresort.info/ski-resort/zauchenseeflachauwinkl/,4.1,Zauchensee/Flachauwinkl,3.5,Europe,Austria,Salzburg (Salzburger Land),2176.0,23.5,16.2,4.3,41.5,European Euro,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,AT,47.52,14.55,44.0,Mediana,53.41,36.82,9.77,Principiante,Freeride básico,0.94,0.94,41.5
http://www.skiresort.info/ski-resort/almenwelt-lofer/,4.0,Almenwelt Lofer,0.0,Europe,Austria,Salzburg (Salzburger Land),1670.0,32.0,12.0,2.0,42.0,European Euro,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,AT,47.52,14.55,46.0,Mediana,69.57,26.09,4.35,Principiante,Sin freeride,0.91,0.91,42.0
http://www.skiresort.info/ski-resort/lermoos-grubigstein/,4.0,Lermoos – Grubigstein,1.7,Europe,Austria,Tyrol (Tirol),2100.0,12.8,12.6,1.9,44.0,European Euro,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,AT,47.52,14.55,27.3,Mediana,46.89,46.15,6.96,Equilibrada,Freeride básico,1.61,1.61,44.0
http://www.skiresort.info/ski-resort/golm/,4.0,Golm,3.2,Europe,Austria,Vorarlberg,2110.0,13.0,12.0,1.5,44.0,European Euro,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,AT,47.52,14.55,26.5,Mediana,49.06,45.28,5.66,Equilibrada,Freeride básico,1.66,1.66,44.0
http://www.skiresort.info/ski-resort/hintertux-glacier-hintertuxer-gletscher/,4.0,Hintertux Glacier (Hintertuxer Gletscher),0.0,Europe,Austria,Tyrol (Tirol),3250.0,14.0,35.0,11.0,52.0,European Euro,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,AT,47.52,14.55,60.0,Mediana,23.33,58.33,18.33,Intermedio,Sin freeride,0.87,0.87,52.0
